capacity_leased_mbps,nM,nV,valid,theta_m_error,theta_v_error,residual_norm2,residual_ok,revenue_identity_error,mvno_retained_identity_error,monopoly_margin
350.0,193.15,1648.7937499999998,True,8.526512829121202e-14,1.9149410945829004e-08,1.9149410946018832e-08,True,0.0,0.0,765.8001853978294
350.0,198.1,1644.7976562500003,True,-4.11262135457946e-11,4.756657290272415e-10,4.774403116742777e-10,True,0.0,0.0,867.0653764658491
350.0,203.05,,False,,,,False,,,
350.0,208.0,,False,,,,False,,,
350.0,212.95000000000002,,False,,,,False,,,
350.0,217.9,,False,,,,False,,,
350.0,222.85,,False,,,,False,,,
350.0,227.8,,False,,,,False,,,
350.0,232.75,,False,,,,False,,,
350.0,237.70000000000002,,False,,,,False,,,
350.0,242.65,,False,,,,False,,,
350.0,247.60000000000002,,False,,,,False,,,
350.0,252.55,,False,,,,False,,,
350.0,257.5,,False,,,,False,,,
350.0,262.45000000000005,,False,,,,False,,,
350.0,267.40000000000003,,False,,,,False,,,
350.0,272.35,,False,,,,False,,,
350.0,277.3,,False,,,,False,,,
350.0,282.25,,False,,,,False,,,
350.0,287.2,,False,,,,False,,,
350.0,292.15000000000003,,False,,,,False,,,
350.0,297.1,,False,,,,False,,,
350.0,302.05,,False,,,,False,,,
350.0,307.0,,False,,,,False,,,
350.0,311.95,,False,,,,False,,,
350.0,316.90000000000003,,False,,,,False,,,
350.0,321.85,,False,,,,False,,,
350.0,326.8,,False,,,,False,,,
350.0,331.75,,False,,,,False,,,
350.0,336.7,,False,,,,False,,,
350.0,341.65000000000003,,False,,,,False,,,
350.0,346.6,,False,,,,False,,,
350.0,351.55,,False,,,,False,,,
350.0,356.5,,False,,,,False,,,
350.0,361.45,,False,,,,False,,,
350.0,366.40000000000003,,False,,,,False,,,
350.0,371.35,,False,,,,False,,,
350.0,376.3,,False,,,,False,,,
350.0,381.25,,False,,,,False,,,
350.0,386.2,,False,,,,False,,,
350.0,391.15000000000003,,False,,,,False,,,
350.0,396.1,,False,,,,False,,,
350.0,401.05,,False,,,,False,,,
350.0,406.0,,False,,,,False,,,
350.0,410.95,,False,,,,False,,,
350.0,415.90000000000003,,False,,,,False,,,
350.0,420.85,,False,,,,False,,,
350.0,425.8,,False,,,,False,,,
350.0,430.75,,False,,,,False,,,
350.0,435.7,,False,,,,False,,,
350.0,440.65000000000003,,False,,,,False,,,
350.0,445.6,,False,,,,False,,,
350.0,450.55,,False,,,,False,,,
350.0,455.5,,False,,,,False,,,
350.0,460.45,,False,,,,False,,,
350.0,465.40000000000003,,False,,,,False,,,
350.0,470.35,,False,,,,False,,,
350.0,475.3,,False,,,,False,,,
350.0,480.25,,False,,,,False,,,
350.0,485.20000000000005,,False,,,,False,,,
350.0,490.15000000000003,,False,,,,False,,,
350.0,495.1,,False,,,,False,,,
350.0,500.05,,False,,,,False,,,
350.0,505.0,,False,,,,False,,,
350.0,509.95000000000005,,False,,,,False,,,
350.0,514.9000000000001,,False,,,,False,,,
350.0,519.85,,False,,,,False,,,
350.0,524.8000000000001,,False,,,,False,,,
350.0,529.75,,False,,,,False,,,
350.0,534.7,,False,,,,False,,,
350.0,539.65,,False,,,,False,,,
350.0,544.6,,False,,,,False,,,
350.0,549.5500000000001,,False,,,,False,,,
350.0,554.5,,False,,,,False,,,
350.0,559.45,,False,,,,False,,,
350.0,564.4,,False,,,,False,,,
350.0,569.35,,False,,,,False,,,
350.0,574.3000000000001,,False,,,,False,,,
350.0,579.25,,False,,,,False,,,
350.0,584.2,,False,,,,False,,,
350.0,589.15,,False,,,,False,,,
350.0,594.1,,False,,,,False,,,
350.0,599.0500000000001,,False,,,,False,,,
350.0,604.0,,False,,,,False,,,
350.0,608.95,,False,,,,False,,,
350.0,613.9,,False,,,,False,,,
350.0,618.85,,False,,,,False,,,
350.0,623.8000000000001,,False,,,,False,,,
350.0,628.75,,False,,,,False,,,
350.0,633.7,,False,,,,False,,,
350.0,638.65,,False,,,,False,,,
350.0,643.6,,False,,,,False,,,
350.0,648.5500000000001,,False,,,,False,,,
350.0,653.5,,False,,,,False,,,
350.0,658.45,,False,,,,False,,,
350.0,663.4,,False,,,,False,,,
350.0,668.35,,False,,,,False,,,
350.0,673.3000000000001,,False,,,,False,,,
350.0,678.25,,False,,,,False,,,
350.0,683.2,,False,,,,False,,,
350.0,688.15,,False,,,,False,,,
350.0,693.1,,False,,,,False,,,
350.0,698.0500000000001,,False,,,,False,,,
350.0,703.0,,False,,,,False,,,
350.0,707.95,,False,,,,False,,,
350.0,712.9,,False,,,,False,,,
350.0,717.85,,False,,,,False,,,
350.0,722.8000000000001,,False,,,,False,,,
350.0,727.75,,False,,,,False,,,
350.0,732.7,,False,,,,False,,,
350.0,737.65,,False,,,,False,,,
350.0,742.6,,False,,,,False,,,
350.0,747.5500000000001,,False,,,,False,,,
350.0,752.5,,False,,,,False,,,
350.0,757.45,,False,,,,False,,,
350.0,762.4,,False,,,,False,,,
350.0,767.35,,False,,,,False,,,
350.0,772.3000000000001,,False,,,,False,,,
350.0,777.25,,False,,,,False,,,
350.0,782.2,,False,,,,False,,,
350.0,787.15,,False,,,,False,,,
350.0,792.1,,False,,,,False,,,
350.0,797.0500000000001,,False,,,,False,,,
350.0,802.0,,False,,,,False,,,
350.0,806.95,,False,,,,False,,,
350.0,811.9,,False,,,,False,,,
350.0,816.85,,False,,,,False,,,
350.0,821.8000000000001,,False,,,,False,,,
350.0,826.75,,False,,,,False,,,
350.0,831.7,,False,,,,False,,,
350.0,836.65,,False,,,,False,,,
350.0,841.6,,False,,,,False,,,
350.0,846.5500000000001,,False,,,,False,,,
350.0,851.5,,False,,,,False,,,
350.0,856.45,,False,,,,False,,,
350.0,861.4,,False,,,,False,,,
350.0,866.35,,False,,,,False,,,
350.0,871.3000000000001,,False,,,,False,,,
350.0,876.25,,False,,,,False,,,
350.0,881.2,,False,,,,False,,,
350.0,886.15,,False,,,,False,,,
350.0,891.1,,False,,,,False,,,
350.0,896.0500000000001,,False,,,,False,,,
350.0,901.0,,False,,,,False,,,
350.0,905.95,,False,,,,False,,,
350.0,910.9,,False,,,,False,,,
350.0,915.85,,False,,,,False,,,
350.0,920.8000000000001,,False,,,,False,,,
350.0,925.75,,False,,,,False,,,
350.0,930.7,,False,,,,False,,,
350.0,935.65,,False,,,,False,,,
350.0,940.6,,False,,,,False,,,
350.0,945.5500000000001,,False,,,,False,,,
350.0,950.5,,False,,,,False,,,
350.0,955.45,,False,,,,False,,,
350.0,960.4000000000001,,False,,,,False,,,
350.0,965.35,,False,,,,False,,,
350.0,970.3000000000001,,False,,,,False,,,
350.0,975.25,,False,,,,False,,,
350.0,980.2,,False,,,,False,,,
350.0,985.1500000000001,,False,,,,False,,,
350.0,990.1,,False,,,,False,,,
350.0,995.0500000000001,,False,,,,False,,,
350.0,1000.0,,False,,,,False,,,
350.0,1004.95,,False,,,,False,,,
350.0,1009.9000000000001,,False,,,,False,,,
350.0,1014.85,,False,,,,False,,,
350.0,1019.8000000000001,,False,,,,False,,,
350.0,1024.75,,False,,,,False,,,
350.0,1029.7,,False,,,,False,,,
350.0,1034.65,,False,,,,False,,,
350.0,1039.6000000000001,,False,,,,False,,,
350.0,1044.55,,False,,,,False,,,
350.0,1049.5,,False,,,,False,,,
350.0,1054.45,,False,,,,False,,,
350.0,1059.4,,False,,,,False,,,
350.0,1064.3500000000001,,False,,,,False,,,
350.0,1069.3,,False,,,,False,,,
350.0,1074.25,,False,,,,False,,,
350.0,1079.2,,False,,,,False,,,
350.0,1084.15,,False,,,,False,,,
350.0,1089.1000000000001,,False,,,,False,,,
350.0,1094.05,,False,,,,False,,,
350.0,1099.0,,False,,,,False,,,
350.0,1103.95,,False,,,,False,,,
350.0,1108.9,,False,,,,False,,,
350.0,1113.8500000000001,,False,,,,False,,,
350.0,1118.8,,False,,,,False,,,
350.0,1123.75,,False,,,,False,,,
350.0,1128.7,,False,,,,False,,,
350.0,1133.65,,False,,,,False,,,
350.0,1138.6000000000001,,False,,,,False,,,
350.0,1143.55,,False,,,,False,,,
350.0,1148.5,,False,,,,False,,,
350.0,1153.45,,False,,,,False,,,
350.0,1158.4,,False,,,,False,,,
350.0,1163.3500000000001,,False,,,,False,,,
350.0,1168.3,,False,,,,False,,,
350.0,1173.25,,False,,,,False,,,
350.0,1178.2,,False,,,,False,,,
350.0,1183.15,,False,,,,False,,,
350.0,1188.1000000000001,,False,,,,False,,,
350.0,1193.05,,False,,,,False,,,
350.0,1198.0,,False,,,,False,,,
350.0,1202.95,,False,,,,False,,,
350.0,1207.9,,False,,,,False,,,
350.0,1212.8500000000001,,False,,,,False,,,
350.0,1217.8,,False,,,,False,,,
350.0,1222.75,,False,,,,False,,,
350.0,1227.7,,False,,,,False,,,
350.0,1232.65,,False,,,,False,,,
350.0,1237.6000000000001,,False,,,,False,,,
350.0,1242.55,,False,,,,False,,,
350.0,1247.5,,False,,,,False,,,
350.0,1252.45,,False,,,,False,,,
350.0,1257.4,,False,,,,False,,,
350.0,1262.3500000000001,,False,,,,False,,,
350.0,1267.3,,False,,,,False,,,
350.0,1272.25,,False,,,,False,,,
350.0,1277.2,,False,,,,False,,,
350.0,1282.15,,False,,,,False,,,
350.0,1287.1000000000001,,False,,,,False,,,
350.0,1292.05,,False,,,,False,,,
350.0,1297.0,,False,,,,False,,,
350.0,1301.95,,False,,,,False,,,
350.0,1306.9,,False,,,,False,,,
350.0,1311.8500000000001,,False,,,,False,,,
350.0,1316.8,,False,,,,False,,,
350.0,1321.75,,False,,,,False,,,
350.0,1326.7,,False,,,,False,,,
350.0,1331.65,,False,,,,False,,,
350.0,1336.6000000000001,,False,,,,False,,,
350.0,1341.55,,False,,,,False,,,
350.0,1346.5,,False,,,,False,,,
350.0,1351.45,,False,,,,False,,,
350.0,1356.4,,False,,,,False,,,
350.0,1361.3500000000001,,False,,,,False,,,
350.0,1366.3,,False,,,,False,,,
350.0,1371.25,,False,,,,False,,,
350.0,1376.2,,False,,,,False,,,
350.0,1381.15,,False,,,,False,,,
350.0,1386.1000000000001,,False,,,,False,,,
350.0,1391.05,,False,,,,False,,,
350.0,1396.0,,False,,,,False,,,
350.0,1400.95,,False,,,,False,,,
350.0,1405.9,,False,,,,False,,,
350.0,1410.8500000000001,,False,,,,False,,,
350.0,1415.8,,False,,,,False,,,
350.0,1420.75,,False,,,,False,,,
350.0,1425.7,,False,,,,False,,,
350.0,1430.65,,False,,,,False,,,
350.0,1435.6000000000001,,False,,,,False,,,
350.0,1440.55,,False,,,,False,,,
350.0,1445.5,,False,,,,False,,,
350.0,1450.45,,False,,,,False,,,
350.0,1455.4,,False,,,,False,,,
350.0,1460.3500000000001,,False,,,,False,,,
350.0,1465.3,,False,,,,False,,,
350.0,1470.25,,False,,,,False,,,
350.0,1475.2,,False,,,,False,,,
350.0,1480.15,,False,,,,False,,,
350.0,1485.1000000000001,,False,,,,False,,,
350.0,1490.05,,False,,,,False,,,
350.0,1495.0,,False,,,,False,,,
350.0,1499.95,,False,,,,False,,,
350.0,1504.9,,False,,,,False,,,
350.0,1509.8500000000001,,False,,,,False,,,
350.0,1514.8,,False,,,,False,,,
350.0,1519.75,,False,,,,False,,,
350.0,1524.7,,False,,,,False,,,
350.0,1529.65,,False,,,,False,,,
350.0,1534.6000000000001,,False,,,,False,,,
350.0,1539.55,,False,,,,False,,,
350.0,1544.5,,False,,,,False,,,
350.0,1549.45,,False,,,,False,,,
350.0,1554.4,,False,,,,False,,,
350.0,1559.3500000000001,,False,,,,False,,,
350.0,1564.3,,False,,,,False,,,
350.0,1569.25,,False,,,,False,,,
350.0,1574.2,,False,,,,False,,,
350.0,1579.15,,False,,,,False,,,
350.0,1584.1000000000001,,False,,,,False,,,
350.0,1589.05,,False,,,,False,,,
350.0,1594.0,,False,,,,False,,,
350.0,1598.95,,False,,,,False,,,
350.0,1603.9,,False,,,,False,,,
350.0,1608.8500000000001,,False,,,,False,,,
350.0,1613.8,,False,,,,False,,,
350.0,1618.75,,False,,,,False,,,
350.0,1623.7,,False,,,,False,,,
350.0,1628.65,,False,,,,False,,,
350.0,1633.6000000000001,,False,,,,False,,,
350.0,1638.55,,False,,,,False,,,
350.0,1643.5,,False,,,,False,,,
350.0,1648.45,,False,,,,False,,,
350.0,1653.4,,False,,,,False,,,
350.0,1658.3500000000001,,False,,,,False,,,
350.0,1663.3,,False,,,,False,,,
350.0,1668.25,,False,,,,False,,,
350.0,1673.2,,False,,,,False,,,
350.0,1678.15,,False,,,,False,,,
350.0,1683.1000000000001,,False,,,,False,,,
350.0,1688.05,,False,,,,False,,,
350.0,1693.0,,False,,,,False,,,
350.0,1697.95,,False,,,,False,,,
350.0,1702.9,,False,,,,False,,,
350.0,1707.8500000000001,,False,,,,False,,,
350.0,1712.8,,False,,,,False,,,
350.0,1717.75,,False,,,,False,,,
350.0,1722.7,,False,,,,False,,,
350.0,1727.65,,False,,,,False,,,
350.0,1732.6000000000001,,False,,,,False,,,
350.0,1737.55,,False,,,,False,,,
350.0,1742.5,,False,,,,False,,,
350.0,1747.45,,False,,,,False,,,
350.0,1752.4,,False,,,,False,,,
350.0,1757.3500000000001,,False,,,,False,,,
350.0,1762.3,,False,,,,False,,,
350.0,1767.25,,False,,,,False,,,
350.0,1772.2,,False,,,,False,,,
350.0,1777.15,,False,,,,False,,,
350.0,1782.1000000000001,,False,,,,False,,,
350.0,1787.05,,False,,,,False,,,
350.0,1792.0,,False,,,,False,,,
350.0,1796.95,,False,,,,False,,,
350.0,1801.9,,False,,,,False,,,
350.0,1806.8500000000001,,False,,,,False,,,
350.0,1811.8,,False,,,,False,,,
350.0,1816.75,,False,,,,False,,,
350.0,1821.7,,False,,,,False,,,
350.0,1826.65,,False,,,,False,,,
350.0,1831.6000000000001,,False,,,,False,,,
350.0,1836.55,,False,,,,False,,,
350.0,1841.5,,False,,,,False,,,
350.0,1846.45,,False,,,,False,,,
350.0,1851.4,,False,,,,False,,,
350.0,1856.3500000000001,,False,,,,False,,,
350.0,1861.3,,False,,,,False,,,
350.0,1866.25,,False,,,,False,,,
350.0,1871.2,,False,,,,False,,,
350.0,1876.15,,False,,,,False,,,
350.0,1881.1000000000001,,False,,,,False,,,
350.0,1886.05,,False,,,,False,,,
350.0,1891.0,,False,,,,False,,,
350.0,1895.95,,False,,,,False,,,
350.0,1900.9,,False,,,,False,,,
350.0,1905.8500000000001,,False,,,,False,,,
350.0,1910.8000000000002,,False,,,,False,,,
350.0,1915.75,,False,,,,False,,,
350.0,1920.7,,False,,,,False,,,
350.0,1925.65,,False,,,,False,,,
350.0,1930.6000000000001,,False,,,,False,,,
350.0,1935.5500000000002,,False,,,,False,,,
350.0,1940.5,,False,,,,False,,,
350.0,1945.45,,False,,,,False,,,
350.0,1950.4,,False,,,,False,,,
350.0,1955.3500000000001,,False,,,,False,,,
350.0,1960.3000000000002,,False,,,,False,,,
350.0,1965.25,,False,,,,False,,,
350.0,1970.2,,False,,,,False,,,
350.0,1975.15,,False,,,,False,,,
350.0,1980.1000000000001,,False,,,,False,,,
350.0,1985.0500000000002,,False,,,,False,,,
350.0,1990.0,,False,,,,False,,,
